126938000000679155;;;2022-05-18;90
126938000000904440;;;2018-10-05;90
126938000000258221;;;2023-03-15;300
126938000000904423;;;2018-10-05;120
126938000000902999;;;2018-03-02;150
126938000000906185;;;2018-03-02;100
126938000001719436;;;2019-05-08;600
126938000000092249;;;2022-04-08;500
126938000000092249;;;2022-04-08;500
126938000000378001;;;2022-08-15;200
126938000000679173;;;2022-05-18;100
126938000000042264;;;2020-01-08;300
126938000000884129;;;2019-04-09;200
126938000000882216;;;2019-05-16;200
126938000000085056;;;2020-10-22;100
126938000000884449;;;2019-02-28;100
126938000000085127;;;2020-10-23;500
126938000000342010;;;2021-07-16;130
126938000000904828;;;2018-08-02;50
126938000000904792;;;2018-08-02;50
126938000000904801;;;2018-08-02;50
126938000000925751;;;2022-11-17;110
126938000000904616;;;2018-09-07;200
126938000000904837;;;2018-08-02;50
126938000000904810;;;2018-08-02;50
126938000000904774;;;2018-08-02;50
126938000000904819;;;2018-08-02;50
126938000000097225;;;2020-08-20;300
126938000000042301;;;2020-01-08;120
126938000000233365;;;2021-03-23;100
126938000000044052;;;2020-09-01;300
126938000000451090;;;2021-10-01;100
126938000000882023;;;2019-05-21;225
126938000000096563;;;2020-07-02;100
126938000000884496;;;2019-02-28;90
126938000001719476;;;2019-05-08;300
126938000001719493;;;2019-05-08;100
126938000000325023;;;2021-06-24;600
126938000001165279;;;2019-12-12;90
126938000000795224;;;2022-08-15;200
126938000000462069;;;2021-10-21;200
126938000000906069;;;2018-03-16;20
126938000000620115;;;2022-03-08;1300
126938000001166073;;;2019-10-31;100
126938000000880838;;;2019-06-20;150
126938000000884458;;;2019-02-28;150
126938000000196001;;;2023-01-03;600
126938000000047035;;;2020-09-14;300
126938000000906048;;;2018-03-02;180
126938000001719453;;;2019-05-29;100
126938000000880704;;;2019-07-03;720
126938000000680029;;;2023-09-29;200
126938000000884479;;;2019-02-28;150
126938000000039374;;;2020-08-20;300
126938000000632152;;;2022-03-24;150
126938000000632161;;;2022-03-24;50
126938000000632170;;;2022-03-24;250
126938000000984090;;;2023-01-03;100
126938000000902061;;;2022-10-19;150
126938000001714787;;;2019-04-06;150
126938000000984072;;;2023-01-03;100
126938000000196001;;;2023-01-03;600
126938000000984081;;;2023-01-03;100
126938000000645691;;;2022-04-08;200
126938000001165331;;;2019-12-12;100
126938000000645742;;;2022-04-08;150
126938000000984059;;;2023-01-03;100
126938000001737067;;;2019-07-03;400
126938000000258132;;;2022-02-15;150
126938000000119124;;;2020-12-16;1000
126938000000233374;;;2021-03-23;150
126938000000451081;;;2021-10-01;150
126938000000880056;;;2019-10-31;600
126938000000059001;;;2023-01-31;600
126938000002102101;;;2018-10-30;100
126938000000462078;;;2021-10-21;240
126938000000906405;;;2018-01-23;700
126938000000044069;;;2020-09-01;90
126938000003319215;;;2025-04-23;120
126938000002087819;;;2018-06-14;240
126938000000679144;;;2022-05-18;200
126938000000967223;;;2022-12-07;150
126938000000110491;;;2020-11-11;750
126938000000258154;;;2021-04-21;150
126938000000884893;;;2019-01-10;300
126938000000241042;;;2021-04-02;90
126938000000821204;;;2022-08-26;100
126938000000880795;;;2019-06-20;150
126938000000096286;;;2020-05-28;90
126938000000451059;;;2021-10-01;150
126938000001826560;;;2024-03-21;125
126938000000097234;;;2020-08-20;90
126938000001165382;;;2019-12-12;90
126938000000880855;;;2019-06-20;90
126938000000122146;;;2021-01-11;50
126938000000046023;;;2022-08-22;500
126938000000882197;;;2019-05-16;90
126938000000093766;;;2020-01-08;150
126938000000904735;;;2018-08-02;150
126938000001166184;;;2019-05-02;400
126938000000258212;;;2022-07-05;500
126938000000110482;;;2020-11-11;150
126938000000884672;;;2019-02-06;100
126938000000901578;;;2019-09-05;300
126938000000042175;;;2022-08-26;300
126938000000096545;;;2020-11-11;120
126938000001737067;;;2019-07-03;400
126938000001714194;;;2019-02-06;550
126938000001737067;;;2019-07-03;400
126938000000085065;;;2021-06-09;1000
126938000000632188;;;2022-04-08;95
126938000000097216;;;2020-08-20;200
126938000000590037;;;2022-02-15;100
126938000000085091;;;2020-10-22;175
126938000000378024;;;2021-08-20;90
126938000000925718;;;2022-11-17;150
126938000000378033;;;2021-08-20;90
126938000000378033;;;2021-08-20;90
126938000000378050;;;2021-08-20;90
126938000000085118;;;2022-03-09;90
126938000000085118;;;2022-03-09;90
126938000000882810;;;2019-05-02;120
126938000000882819;;;2019-05-02;120
126938000000882856;;;2019-05-02;120
126938000000905437;;;2018-04-27;150
126938000000905531;;;2018-04-04;300
126938000000551096;;;2022-01-12;90
126938000000049406;;;2020-08-05;90
